OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Zen MAX_THREADS=128
STRIDED_GEMM(ld=2N) | AMD Ryzen Threadripper 3970X 32-Core Processor | session=strided_gemm_amd_20260719_175453_session3 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenBLAS] requested=1 active=1
[STRIDED_GEMM] N=1024 threads=32 rep=7 batches=560 time=1.003 s | package=272.690 J | dram=NA | total=272.690 J | power=271.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=32 rep=8 batches=560 time=1.002 s | package=272.572 J | dram=NA | total=272.572 J | power=272.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=32 rep=9 batches=560 time=1.005 s | package=273.373 J | dram=NA | total=273.373 J | power=272.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=32 rep=10 batches=560 time=1.002 s | package=273.205 J | dram=NA | total=273.205 J | power=272.6 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=1024 threads=4 rep=1 batches=209 time=1.002 s | package=125.640 J | dram=NA | total=125.640 J | power=125.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=2 batches=209 time=1.004 s | package=125.612 J | dram=NA | total=125.612 J | power=125.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=3 batches=209 time=1.003 s | package=125.471 J | dram=NA | total=125.471 J | power=125.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=4 batches=209 time=1.001 s | package=125.216 J | dram=NA | total=125.216 J | power=125.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=5 batches=209 time=1.001 s | package=124.985 J | dram=NA | total=124.985 J | power=124.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=6 batches=209 time=1.012 s | package=126.231 J | dram=NA | total=126.231 J | power=124.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=7 batches=209 time=1.002 s | package=125.710 J | dram=NA | total=125.710 J | power=125.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=8 batches=209 time=1.010 s | package=126.173 J | dram=NA | total=126.173 J | power=124.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=9 batches=209 time=1.002 s | package=125.552 J | dram=NA | total=125.552 J | power=125.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=10 batches=209 time=1.011 s | package=126.145 J | dram=NA | total=126.145 J | power=124.8 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=16 active=16
[STRIDED_GEMM] N=256 threads=16 rep=1 batches=15238 time=1.000 s | package=177.170 J | dram=NA | total=177.170 J | power=177.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=16 rep=2 batches=15238 time=1.003 s | package=177.829 J | dram=NA | total=177.829 J | power=177.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=16 rep=3 batches=15238 time=1.001 s | package=177.481 J | dram=NA | total=177.481 J | power=177.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=16 rep=4 batches=15238 time=1.001 s | package=177.467 J | dram=NA | total=177.467 J | power=177.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=16 rep=5 batches=15238 time=1.005 s | package=178.549 J | dram=NA | total=178.549 J | power=177.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=16 rep=6 batches=15238 time=1.001 s | package=177.584 J | dram=NA | total=177.584 J | power=177.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=16 rep=7 batches=15238 time=1.002 s | package=177.657 J | dram=NA | total=177.657 J | power=177.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=16 rep=8 batches=15238 time=1.003 s | package=177.710 J | dram=NA | total=177.710 J | power=177.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=16 rep=9 batches=15238 time=1.002 s | package=177.718 J | dram=NA | total=177.718 J | power=177.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=16 rep=10 batches=15238 time=1.013 s | package=179.272 J | dram=NA | total=179.272 J | power=176.9 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=16 active=16
[STRIDED_GEMM] N=8192 threads=16 rep=1 batches=2 time=1.279 s | package=361.755 J | dram=NA | total=361.755 J | power=282.9 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=2 batches=2 time=1.276 s | package=360.993 J | dram=NA | total=360.993 J | power=283.0 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=3 batches=2 time=1.278 s | package=361.604 J | dram=NA | total=361.604 J | power=282.9 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=4 batches=2 time=1.280 s | package=362.199 J | dram=NA | total=362.199 J | power=282.9 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=5 batches=2 time=1.279 s | package=361.839 J | dram=NA | total=361.839 J | power=282.9 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=6 batches=2 time=1.279 s | package=361.622 J | dram=NA | total=361.622 J | power=282.8 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=7 batches=2 time=1.279 s | package=361.577 J | dram=NA | total=361.577 J | power=282.8 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=8 batches=2 time=1.278 s | package=361.619 J | dram=NA | total=361.619 J | power=282.9 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=9 batches=2 time=1.279 s | package=361.901 J | dram=NA | total=361.901 J | power=282.9 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=10 batches=2 time=1.282 s | package=362.607 J | dram=NA | total=362.607 J | power=282.7 W | runtime=above | checksum=OK
[OpenBLAS] requested=2 active=2
[STRIDED_GEMM] N=8192 threads=2 rep=1 batches=1 time=4.476 s | package=438.276 J | dram=NA | total=438.276 J | power=97.9 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=2 rep=2 batches=1 time=4.540 s | package=442.228 J | dram=NA | total=442.228 J | power=97.4 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=2 rep=3 batches=1 time=4.488 s | package=437.883 J | dram=NA | total=437.883 J | power=97.6 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=2 rep=4 batches=1 time=4.521 s | package=440.624 J | dram=NA | total=440.624 J | power=97.5 W | runtime=above | checksum=OK
