OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY SkylakeX MAX_THREADS=128
STRIDED_GEMM(ld=2N) | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | session=strided_gemm_intel_20260719_175326_session3 | reps=10 | configs=63 | DRAM-RAPL=yes
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=64 threads=2 rep=1 batches=405420 time=1.001 s | package=56.547 J | dram=0.000000 | total=56.547 J | power=56.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=2 rep=2 batches=405420 time=1.000 s | package=56.665 J | dram=0.000000 | total=56.665 J | power=56.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=2 rep=3 batches=405420 time=1.000 s | package=55.709 J | dram=0.000000 | total=55.709 J | power=55.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=2 rep=4 batches=405420 time=1.001 s | package=55.698 J | dram=0.000000 | total=55.698 J | power=55.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=2 rep=5 batches=405420 time=0.999 s | package=55.578 J | dram=0.000000 | total=55.578 J | power=55.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=2 rep=6 batches=405420 time=1.001 s | package=55.783 J | dram=0.000000 | total=55.783 J | power=55.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=2 rep=7 batches=405420 time=1.000 s | package=55.588 J | dram=0.000000 | total=55.588 J | power=55.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=2 rep=8 batches=405420 time=1.000 s | package=55.630 J | dram=0.000000 | total=55.630 J | power=55.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=2 rep=9 batches=405420 time=1.000 s | package=55.619 J | dram=0.000000 | total=55.619 J | power=55.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=2 rep=10 batches=405420 time=1.000 s | package=55.347 J | dram=0.000000 | total=55.347 J | power=55.3 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=16 active=16
[STRIDED_GEMM] N=8192 threads=16 rep=1 batches=1 time=1.028 s | package=178.603 J | dram=1.611182 | total=180.215 J | power=175.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=2 batches=1 time=1.030 s | package=179.139 J | dram=1.604082 | total=180.743 J | power=175.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=3 batches=1 time=1.031 s | package=179.234 J | dram=1.619413 | total=180.854 J | power=175.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=4 batches=1 time=1.029 s | package=179.186 J | dram=1.622672 | total=180.809 J | power=175.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=8192 threads=16 rep=5 batches=1 time=1.028 s | package=179.352 J | dram=1.623253 | total=180.976 J | power=176.1 W | runtime=in_range | checksum=OK
