source_file,session_number,sequence_index,problem_size,configuration,num_threads,repetition,runtime_per_op_s,primary_energy_per_op_j,checksum_ok,runtime_outlier,energy_outlier
reduction_amd_20260722_174206_session2.csv,2,354,128000000,10T,10,4,0.009492858490566037,1.0933307075471699,t,True,False
reduction_amd_20260722_174206_session2.csv,2,357,128000000,10T,10,7,0.009499679245283018,1.0931385377358491,t,True,False
reduction_amd_20260722_174206_session2.csv,2,358,128000000,10T,10,8,0.009497981132075471,1.0929103867924528,t,True,False
reduction_amd_20260722_174206_session2.csv,2,360,128000000,10T,10,10,0.009501716981132075,1.0926069528301887,t,True,False
reduction_amd_20260722_174206_session2.csv,2,771,128000000,16T,16,1,0.009092245454545454,1.1637430636363637,t,False,True
reduction_amd_20260722_174206_session2.csv,2,773,128000000,16T,16,3,0.009105172727272726,1.1647093,t,False,True
reduction_amd_20260722_174206_session2.csv,2,601,128000000,1T,1,1,0.027081108108108105,1.8701635945945947,t,True,False
reduction_amd_20260722_174206_session2.csv,2,211,128000000,20T,20,1,0.010405628865979382,1.2082404329896907,t,False,True
reduction_amd_20260722_174206_session2.csv,2,291,128000000,4T,4,1,0.010474135416666667,0.9206151145833333,t,False,True
reduction_amd_20260722_174206_session2.csv,2,631,128000000,64T,64,1,0.009635182692307693,1.5142171249999998,t,True,True
reduction_amd_20260722_174206_session2.csv,2,632,128000000,64T,64,2,0.009717538461538461,1.5238274615384617,t,True,False
reduction_amd_20260722_174206_session2.csv,2,541,128000000,8T,8,1,0.009366981308411215,0.9836918130841122,t,False,True
reduction_amd_20260722_174206_session2.csv,2,543,128000000,8T,8,3,0.009407457943925234,0.9960044485981308,t,True,False
reduction_amd_20260722_174206_session2.csv,2,431,256000000,10T,10,1,0.018774722222222224,2.3273312777777777,t,True,False
reduction_amd_20260722_174206_session2.csv,2,751,256000000,16T,16,1,0.01809317857142857,2.395592375,t,True,False
reduction_amd_20260722_174206_session2.csv,2,701,256000000,1T,1,1,0.05286026315789474,3.7772865263157898,t,False,True
reduction_amd_20260722_174206_session2.csv,2,707,256000000,1T,1,7,0.052880894736842106,3.7781827368421053,t,False,True
reduction_amd_20260722_174206_session2.csv,2,710,256000000,1T,1,10,0.05359815789473684,3.823858789473684,t,True,True
reduction_amd_20260722_174206_session2.csv,2,141,256000000,20T,20,1,0.020757836734693877,2.3917251224489795,t,True,False
reduction_amd_20260722_174206_session2.csv,2,491,256000000,32T,32,1,0.01851269090909091,2.6410358,t,False,True
reduction_amd_20260722_174206_session2.csv,2,492,256000000,32T,32,2,0.018538854545454543,2.651726927272727,t,False,True
reduction_amd_20260722_174206_session2.csv,2,493,256000000,32T,32,3,0.01854521818181818,2.656550690909091,t,False,True
reduction_amd_20260722_174206_session2.csv,2,494,256000000,32T,32,4,0.01859289090909091,2.663465327272727,t,True,False
reduction_amd_20260722_174206_session2.csv,2,423,256000000,64T,64,3,0.019203830188679244,3.0430940943396227,t,True,True
reduction_amd_20260722_174206_session2.csv,2,425,256000000,64T,64,5,0.01922579245283019,3.0433405283018864,t,True,True
reduction_amd_20260722_174206_session3.csv,3,391,1000000,32T,32,1,5.0126158160965594e-05,0.0074373897430760755,t,True,False
reduction_amd_20260722_174206_session3.csv,3,400,1000000,32T,32,10,5.024996243802274e-05,0.007378492763059048,t,True,False
reduction_amd_20260722_174206_session3.csv,3,551,1000000,4T,4,1,3.5010212913276784e-05,0.003097611701575212,t,False,True
reduction_amd_20260722_174206_session3.csv,3,559,1000000,4T,4,9,3.547588713865328e-05,0.0031612394322312618,t,False,True
reduction_amd_20260722_174206_session3.csv,3,560,1000000,4T,4,10,3.558161675610179e-05,0.0031967889908256883,t,False,True
