STREAM | AMD Ryzen Threadripper 3970X 32-Core Processor | platform=AMD | session=stream_amd_20260721_095517_session5 | reps=10 | configs=81 | DRAM-RAPL=no
[STREAM] N=128000000 threads=64 rep=6 batches=26 time=1.025 s | package=163.953 J | dram=NA | total=163.953 J | power=160.0 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=64 rep=7 batches=26 time=1.025 s | package=163.960 J | dram=NA | total=163.960 J | power=159.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=64 rep=8 batches=26 time=1.025 s | package=163.828 J | dram=NA | total=163.828 J | power=159.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=64 rep=9 batches=26 time=1.025 s | package=163.987 J | dram=NA | total=163.987 J | power=160.0 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=64 rep=10 batches=26 time=1.025 s | package=163.973 J | dram=NA | total=163.973 J | power=160.0 W | runtime=in_range | checksum=OK
[OpenMP] requested=4 active=4
[STREAM] N=8000000 threads=4 rep=1 batches=510 time=1.001 s | package=99.696 J | dram=NA | total=99.696 J | power=99.6 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=2 batches=510 time=1.005 s | package=99.575 J | dram=NA | total=99.575 J | power=99.1 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=3 batches=510 time=1.003 s | package=99.317 J | dram=NA | total=99.317 J | power=99.0 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=4 batches=510 time=1.004 s | package=99.150 J | dram=NA | total=99.150 J | power=98.8 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=5 batches=510 time=1.004 s | package=99.181 J | dram=NA | total=99.181 J | power=98.8 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=6 batches=510 time=1.005 s | package=99.139 J | dram=NA | total=99.139 J | power=98.7 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=7 batches=510 time=1.004 s | package=99.062 J | dram=NA | total=99.062 J | power=98.6 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=8 batches=510 time=1.007 s | package=99.025 J | dram=NA | total=99.025 J | power=98.4 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=9 batches=510 time=1.004 s | package=98.774 J | dram=NA | total=98.774 J | power=98.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=10 batches=510 time=1.005 s | package=98.436 J | dram=NA | total=98.436 J | power=98.0 W | runtime=in_range | checksum=OK
[OpenMP] requested=2 active=2
[STREAM] N=8000000 threads=2 rep=1 batches=352 time=0.998 s | package=82.052 J | dram=NA | total=82.052 J | power=82.2 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=2 batches=352 time=1.003 s | package=82.403 J | dram=NA | total=82.403 J | power=82.2 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=3 batches=352 time=1.002 s | package=82.285 J | dram=NA | total=82.285 J | power=82.1 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=4 batches=352 time=1.003 s | package=82.319 J | dram=NA | total=82.319 J | power=82.1 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=5 batches=352 time=1.002 s | package=82.209 J | dram=NA | total=82.209 J | power=82.0 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=6 batches=352 time=1.004 s | package=81.758 J | dram=NA | total=81.758 J | power=81.4 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=7 batches=352 time=1.002 s | package=81.131 J | dram=NA | total=81.131 J | power=81.0 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=8 batches=352 time=1.001 s | package=81.015 J | dram=NA | total=81.015 J | power=80.9 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=9 batches=352 time=1.000 s | package=80.921 J | dram=NA | total=80.921 J | power=80.9 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=10 batches=352 time=1.002 s | package=81.286 J | dram=NA | total=81.286 J | power=81.1 W | runtime=in_range | checksum=OK
[OpenMP] requested=1 active=1
[STREAM] N=128000000 threads=1 rep=1 batches=15 time=1.068 s | package=77.953 J | dram=NA | total=77.953 J | power=73.0 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=1 rep=2 batches=15 time=1.072 s | package=78.169 J | dram=NA | total=78.169 J | power=72.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=1 rep=3 batches=15 time=1.083 s | package=79.039 J | dram=NA | total=79.039 J | power=73.0 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=1 rep=4 batches=15 time=1.072 s | package=78.163 J | dram=NA | total=78.163 J | power=72.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=1 rep=5 batches=15 time=1.070 s | package=78.045 J | dram=NA | total=78.045 J | power=72.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=1 rep=6 batches=15 time=1.078 s | package=78.587 J | dram=NA | total=78.587 J | power=72.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=1 rep=7 batches=15 time=1.078 s | package=78.594 J | dram=NA | total=78.594 J | power=72.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=1 rep=8 batches=15 time=1.069 s | package=78.021 J | dram=NA | total=78.021 J | power=73.0 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=1 rep=9 batches=15 time=1.071 s | package=78.128 J | dram=NA | total=78.128 J | power=72.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=1 rep=10 batches=15 time=1.073 s | package=78.225 J | dram=NA | total=78.225 J | power=72.9 W | runtime=in_range | checksum=OK
[OpenMP] requested=20 active=20
[STREAM] N=256000000 threads=20 rep=1 batches=12 time=1.019 s | package=125.500 J | dram=NA | total=125.500 J | power=123.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=20 rep=2 batches=12 time=1.020 s | package=125.397 J | dram=NA | total=125.397 J | power=123.0 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=20 rep=3 batches=12 time=1.019 s | package=125.285 J | dram=NA | total=125.285 J | power=122.9 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=20 rep=4 batches=12 time=1.020 s | package=127.049 J | dram=NA | total=127.049 J | power=124.6 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=20 rep=5 batches=12 time=1.019 s | package=127.234 J | dram=NA | total=127.234 J | power=124.9 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=20 rep=6 batches=12 time=1.019 s | package=127.340 J | dram=NA | total=127.340 J | power=124.9 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=20 rep=7 batches=12 time=1.019 s | package=127.292 J | dram=NA | total=127.292 J | power=125.0 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=20 rep=8 batches=12 time=1.019 s | package=127.426 J | dram=NA | total=127.426 J | power=125.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=20 rep=9 batches=12 time=1.019 s | package=127.533 J | dram=NA | total=127.533 J | power=125.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=20 rep=10 batches=12 time=1.019 s | package=127.634 J | dram=NA | total=127.634 J | power=125.3 W | runtime=in_range | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=128000000 threads=16 rep=1 batches=27 time=1.034 s | package=129.806 J | dram=NA | total=129.806 J | power=125.5 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=2 batches=27 time=1.035 s | package=129.813 J | dram=NA | total=129.813 J | power=125.4 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=3 batches=27 time=1.035 s | package=129.812 J | dram=NA | total=129.812 J | power=125.4 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=4 batches=27 time=1.034 s | package=129.805 J | dram=NA | total=129.805 J | power=125.5 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=5 batches=27 time=1.035 s | package=129.834 J | dram=NA | total=129.834 J | power=125.5 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=6 batches=27 time=1.035 s | package=129.904 J | dram=NA | total=129.904 J | power=125.5 W | runtime=in_range | checksum=OK
