session_number,problem_size,num_threads,runtime_per_op_s,time_per_op_ms_e2e,package_energy_per_op_j,package_avg_power_w,gflops_per_s,edp_package_j_s,temp_c,sm_clock_mhz,batches
3,128,4,1.324808893195521e-05,0.0132485,0.0011787437755706289,88.88274610369977,316.595,1.561593951728948e-08,87.0,,74304.0
3,128,8,1.2453362909073033e-05,0.0124535,0.0014828760522532043,119.34317653722175,336.805,1.845036680450878e-08,94.0,,81373.0
3,128,10,1.2399447281540193e-05,0.0123995,0.0014018382463863094,113.97144040979629,338.265,1.735061751210596e-08,87.5,,80873.0
3,128,16,1.2445469111410948e-05,0.0124455,0.00130559554500771,104.81841421062418,337.015,1.6248767913581742e-08,74.0,,83008.0
3,128,20,1.2513920410584412e-05,0.012514,0.0015159450469386703,121.0227007940761,335.17499999999995,1.8948930516602963e-08,95.0,,77548.0
3,256,1,0.00018088629764065334,0.1808865,0.011654029582577132,64.53960357926127,185.5,2.111801489795488e-06,99.0,,5510.0
3,256,2,0.00010975248070562295,0.1097525,0.009043499448732083,82.22011232501504,305.73,9.930583948003097e-07,99.0,,9070.0
3,256,4,6.421170606307606e-05,0.06421199999999999,0.006947548372938742,109.73801199408791,522.56,4.3850442722007995e-07,99.0,,15949.0
3,256,8,3.907287386012289e-05,0.039073,0.005066889162850769,131.7922490012461,858.775,1.9491959523571504e-07,82.0,,25551.0
3,256,10,6.503224979162659e-05,0.065032,0.008703016926331988,133.9111685177545,515.965,5.664051066093366e-07,91.0,,15597.0
3,256,16,5.208375019338869e-05,0.052083500000000005,0.007385513537207983,142.39284032080582,644.245,3.8463036898053755e-07,86.0,,19391.0
3,256,20,6.104298398224249e-05,0.061043,0.009480528915951768,155.15134675334946,549.69,5.787264105891766e-07,98.0,,16669.0
3,512,1,0.0013117556291390728,1.311755,0.0673024059602649,51.0325489813726,204.64999999999998,8.838583937411079e-05,84.0,,755.0
3,512,2,0.0007771700310559007,0.7771699999999999,0.059433921195652176,76.40580079925606,345.405,4.616145800240032e-05,95.0,,1288.0
3,512,4,0.0004241869953251169,0.4241875,0.04811445091372716,113.52293954684538,632.825,2.0413948078736824e-05,98.5,,2353.0
3,512,8,0.00025298354684752573,0.25298350000000003,0.0386712685254961,152.69588005187148,1061.08,9.778493476368218e-06,98.5,,3981.0
3,512,10,0.0002953928465420006,0.295393,0.0454715731671119,153.8233282447523,908.74,1.3431976930638254e-05,97.0,,3369.0
3,512,16,0.0002624209582372534,0.262421,0.04181047630028184,159.59856217440085,1022.92,1.0935467363610963e-05,99.5,,3903.0
3,512,20,0.0002886931034482759,0.28869350000000005,0.04956835632183908,171.55469338598317,929.8299999999999,1.4297661915029893e-05,98.0,,3480.0
3,1024,1,0.011194634831460675,11.194639500000001,0.711031,63.515336571863934,191.82999999999998,0.007959732430808294,98.0,,89.0
3,1024,2,0.0057943815028901734,5.794382000000001,0.4906610693641619,84.64794435200402,370.615,0.00284183561295476,99.0,,173.0
3,1024,4,0.003092265671641791,3.092266,0.3468855910447761,112.2150093920818,694.4749999999999,0.001059425618284687,98.0,,335.0
